字頻序號,字,出現頻次,累積頻次,累積百分比	 
1,的,32739,32739,1.651
2,不,24362,57101,2.879
3,一,22524,79625,4.015
4,我,19414,99039,4.994
5,是,17698,116737,5.887
6,人,17638,134375,6.776
7,有,14346,148721,7.5
8,了,12721,161442,8.141
9,大,12416,173858,8.767
10,國,10660,184518,9.305
11,來,10620,195138,9.841
12,生,10256,205394,10.358
13,在,9988,215382,10.862
14,子,9708,225090,11.351
15,們,9454,234544,11.828
16,中,8751,243295,12.269
17,上,8668,251963,12.706
18,他,8554,260517,13.138
19,時,8311,268828,13.557
20,小,8061,276889,13.963
21,地,7580,284469,14.346
22,出,7437,291906,14.721
23,以,7423,299329,15.095
24,學,7306,306635,15.464
25,可,7202,313837,15.827
26,自,7199,321036,16.19
27,這,7175,328211,16.552
28,會,7044,335255,16.907
29,成,6996,342251,17.26
30,家,6979,349230,17.612
31,到,6857,356087,17.958
32,為,6838,362925,18.302
33,天,6799,369724,18.645
34,心,6762,376486,18.986
35,年,6350,382836,19.307
36,然,6264,389100,19.622
37,要,6225,395325,19.936
38,得,6193,401518,20.249
39,說,6151,407669,20.559
40,過,6028,413697,20.863
41,個,5895,419592,21.16
42,著,5869,425461,21.456
43,能,5743,431204,21.746
44,下,5683,436887,22.032
45,動,5567,442454,22.313
46,發,5489,447943,22.59
47,臺,5448,453391,22.865
48,麼,5296,458687,23.132
49,車,5268,463955,23.398
50,那,5234,469189,23.661
51,行,5228,474417,23.925
52,經,5221,479638,24.188
53,去,5197,484835,24.451
54,好,5173,490008,24.711
55,開,5169,495177,24.972
56,現,5129,500306,25.231
57,就,5082,505388,25.487
58,作,5026,510414,25.741
59,後,4942,515356,25.99
60,多,4907,520263,26.237
61,方,4896,525159,26.484
62,如,4889,530048,26.731
63,事,4861,534909,26.976
64,公,4796,539705,27.218
65,看,4757,544462,27.458
66,也,4747,549209,27.697
67,長,4694,553903,27.934
68,面,4622,558525,28.167
69,力,4618,563143,28.4
70,起,4560,567703,28.63
71,裡,4523,572226,28.858
72,高,4363,576589,29.078
73,用,4294,580883,29.294
74,業,4266,585149,29.51
75,你,4224,589373,29.723
76,因,4133,593506,29.931
77,而,4125,597631,30.139
78,分,4076,601707,30.345
79,市,4030,605737,30.548
80,於,4030,609767,30.751
81,道,4007,613774,30.953
82,外,3982,617756,31.154
83,沒,3971,621727,31.354
84,無,3968,625695,31.554
85,同,3967,629662,31.754
86,法,3962,633624,31.954
87,前,3943,637567,32.153
88,水,3851,641418,32.347
89,電,3830,645248,32.54
90,民,3825,649073,32.733
91,對,3775,652848,32.924
92,兒,3745,656593,33.113
93,日,3743,660336,33.301
94,之,3703,664039,33.488
95,文,3701,667740,33.675
96,當,3658,671398,33.859
97,教,3640,675038,34.043
98,新,3638,678676,34.226
99,意,3618,682294,34.409
100,情,3610,685904,34.591
101,所,3600,689504,34.772
102,實,3588,693092,34.953
103,工,3586,696678,35.134
104,全,3574,700252,35.314
105,定,3573,703825,35.495
106,美,3559,707384,35.674
107,理,3513,710897,35.851
108,頭,3499,714396,36.028
109,本,3493,717889,36.204
110,明,3492,721381,36.38
111,氣,3492,724873,36.556
112,進,3423,728296,36.729
113,樣,3416,731712,36.901
114,都,3414,735126,37.073
115,主,3407,738533,37.245
116,間,3393,741926,37.416
117,老,3362,745288,37.586
118,想,3359,748647,37.755
119,重,3342,751989,37.924
120,體,3333,755322,38.092
121,山,3245,758567,38.255
122,物,3238,761805,38.419
123,知,3217,765022,38.581
124,手,3211,768233,38.743
125,相,3199,771432,38.904
126,回,3161,774593,39.063
127,性,3135,777728,39.222
128,果,3102,780830,39.378
129,政,3090,783920,39.534
130,只,3054,786974,39.688
131,此,3042,790016,39.841
132,代,3017,793033,39.993
133,和,2988,796021,40.144
134,活,2986,799007,40.295
135,媽,2986,801993,40.445
136,親,2984,804977,40.596
137,化,2975,807952,40.746
138,加,2975,810927,40.896
139,影,2925,813852,41.043
140,什,2903,816755,41.19
141,身,2902,819657,41.336
142,己,2860,822517,41.48
143,灣,2859,825376,41.625
144,機,2851,828227,41.768
145,部,2839,831066,41.912
146,常,2818,833884,42.054
147,見,2813,836697,42.196
148,其,2787,839484,42.336
149,正,2786,842270,42.477
150,世,2785,845055,42.617
151,北,2775,847830,42.757
152,女,2763,850593,42.896
153,花,2763,853356,43.036
154,合,2754,856110,43.175
155,場,2754,858864,43.313
156,海,2743,861607,43.452
157,者,2722,864329,43.589
158,表,2668,866997,43.724
159,問,2659,869656,43.858
160,立,2626,872282,43.99
161,西,2620,874902,44.122
162,還,2583,877485,44.253
163,最,2560,880045,44.382
164,感,2509,882554,44.508
165,告,2506,885060,44.635
166,度,2494,887554,44.76
167,光,2490,890044,44.886
168,點,2489,892533,45.011
169,色,2465,894998,45.136
170,種,2457,897455,45.26
171,少,2455,899910,45.383
172,風,2443,902353,45.507
173,資,2411,904764,45.628
174,她,2408,907172,45.75
175,期,2374,909546,45.869
176,利,2372,911918,45.989
177,保,2367,914285,46.108
178,友,2366,916651,46.228
179,樂,2360,919011,46.347
180,關,2352,921363,46.465
181,品,2339,923702,46.583
182,書,2336,926038,46.701
183,金,2318,928356,46.818
184,師,2312,930668,46.935
185,產,2306,932974,47.051
186,但,2283,935257,47.166
187,觀,2250,937507,47.28
188,平,2248,939755,47.393
189,太,2240,941995,47.506
190,名,2219,944214,47.618
191,空,2216,946430,47.73
192,變,2210,948640,47.841
193,安,2204,950844,47.952
194,聲,2199,953043,48.063
195,路,2195,955238,48.174
196,從,2193,957431,48.284
197,爸,2184,959615,48.394
198,口,2168,961783,48.504
199,很,2155,963938,48.612
200,真,2139,966077,48.72
201,許,2134,968211,48.828
202,些,2127,970338,48.935
203,又,2119,972457,49.042
204,母,2119,974576,49.149
205,門,2119,976695,49.256
206,孩,2110,978805,49.362
207,展,2109,980914,49.469
208,像,2104,983018,49.575
209,目,2100,985118,49.681
210,信,2099,987217,49.786
211,今,2092,989309,49.892
212,應,2089,991398,49.997
213,特,2088,993486,50.103
214,十,2086,995572,50.208
215,東,2073,997645,50.312
216,入,2064,999709,50.416
217,話,2061,1001770,50.52
218,原,2055,1003825,50.624
219,內,2053,1005878,50.728
220,把,2053,1007931,50.831
221,病,2042,1009973,50.934
222,白,2037,1012010,51.037
223,星,2034,1014044,51.139
224,員,2024,1016068,51.241
225,提,2023,1018091,51.344
226,總,2020,1020111,51.445
227,愛,2019,1022130,51.547
228,畫,2018,1024148,51.649
229,走,1997,1026145,51.75
230,片,1987,1028132,51.85
231,眼,1972,1030104,51.949
232,比,1965,1032069,52.048
233,統,1961,1034030,52.147
234,由,1959,1035989,52.246
235,界,1957,1037946,52.345
236,受,1956,1039902,52.443
237,使,1944,1041846,52.542
238,朋,1939,1043785,52.639
239,通,1933,1045718,52.737
240,球,1928,1047646,52.834
241,別,1921,1049567,52.931
242,已,1909,1051476,53.027
243,覺,1897,1053373,53.123
244,廣,1892,1055265,53.218
245,計,1891,1057156,53.314
246,結,1887,1059043,53.409
247,接,1884,1060927,53.504
248,選,1880,1062807,53.599
249,打,1872,1064679,53.693
250,先,1855,1066534,53.787
251,才,1853,1068387,53.88
252,認,1848,1070235,53.973
253,候,1843,1072078,54.066
254,望,1830,1073908,54.158
255,神,1816,1075724,54.25
256,何,1814,1077538,54.342
257,處,1812,1079350,54.433
258,放,1806,1081156,54.524
259,做,1800,1082956,54.615
260,題,1800,1084756,54.706
261,向,1793,1086549,54.796
262,位,1788,1088337,54.886
263,收,1785,1090122,54.976
264,運,1783,1091905,55.066
265,三,1771,1093676,55.155
266,建,1771,1095447,55.245
267,數,1771,1097218,55.334
268,解,1762,1098980,55.423
269,流,1751,1100731,55.511
270,形,1749,1102480,55.599
271,量,1723,1104203,55.686
272,再,1705,1105908,55.772
273,兩,1699,1107607,55.858
274,清,1699,1109306,55.944
