詞頻序號,詞目,,出現頻次,累積頻次,累積百分比
1,我們,ㄨㄛˇ　˙ㄇㄣ ,2613,2613,0.492599
2,臺灣,ㄊㄞˊ　ㄨㄢ,2298,4911,0.925814
3,可以,ㄎㄜˇ　ㄧˇ,1733,6644,1.252517
4,自己,ㄗˋ　ㄐㄧˇ,1580,8224,1.550376
5,他們,ㄊㄚ　˙ㄇㄣ,1433,9657,1.820523
6,沒有,ㄇㄟˊ　ㄧㄡˇ,1409,11066,2.086146
7,因為,ㄧㄣ　ㄨㄟˋ,1219,12285,2.31595
8,可能,ㄎㄜˇ　ㄋㄥˊ,1104,13389,2.524074
9,如果,ㄖㄨˊ　ㄍㄨㄛˇ,1033,14422,2.718814
10,問題,ㄨㄣˋ　ㄊㄧˊ,1004,15426,2.908087
11,因此,ㄧㄣ　ㄘˇ,928,16354,3.083032
12,生活,ㄕㄥ　ㄏㄨㄛˊ,924,17278,3.257223
13,什麼,ㄕㄣˊ　˙ㄇㄜ,913,18191,3.42934
14,工作,ㄍㄨㄥ　ㄗㄨㄛˋ,897,19088,3.598441
15,孩子,ㄏㄞˊ　˙ㄗ,884,19972,3.765091
16,美國,,876,20848,3.930233
17,廣告,ㄍㄨㄤˇ　ㄍㄠˋ,865,21713,4.093301
18,經濟,ㄐㄧㄥ　ㄐㄧˋ,859,22572,4.255238
19,社會,ㄕㄜˋ　ㄏㄨㄟˋ,858,23430,4.416987
20,活動,ㄏㄨㄛˊ　ㄉㄨㄥˋ,857,24287,4.578547
21,開始,ㄎㄞ　ㄕˇ,832,25119,4.735394
22,大陸,,831,25950,4.892053
23,世界,ㄕˋ　ㄐㄧㄝˋ,826,26776,5.047769
24,日本,,824,27600,5.203108
25,國小,ㄍㄨㄛˊ　ㄒㄧㄠˇ,810,28410,5.355808
26,但是,ㄉㄢˋ　ㄕˋ,798,29208,5.506246
27,發展,,784,29992,5.654044
28,時間,ㄕˊ　ㄐㄧㄢ,782,30774,5.801465
29,市場,ㄕˋ　ㄔㄤˇ,769,31543,5.946436
30,朋友,ㄆㄥˊ　ㄧㄡˇ,763,32306,6.090276
31,公司,ㄍㄨㄥ　ㄙ,750,33056,6.231665
32,電影,ㄉㄧㄢˋ　ㄧㄥˇ,748,33804,6.372677
33,兒童,ㄦˊ　ㄊㄨㄥˊ,744,34548,6.512935
34,中國,ㄓㄨㄥ　ㄍㄨㄛˊ,732,35280,6.650931
35,小朋友,,701,35981,6.783082
36,由於,ㄧㄡˊ　ㄩˊ,701,36682,6.915233
37,所以,ㄙㄨㄛˇ　ㄧˇ,701,37383,7.047384
38,知道,ㄓ　˙ㄉㄠ,699,38082,7.179158
39,現在,ㄒㄧㄢˋ　ㄗㄞˋ,695,38777,7.310178
40,許多,ㄒㄩˇ　ㄉㄨㄛ,678,39455,7.437994
41,政府,ㄓㄥˋ　ㄈㄨˇ,670,40125,7.564301
42,發現,ㄈㄚ　ㄒㄧㄢˋ,670,40795,7.690608
43,成為,,656,41451,7.814276
44,教育,ㄐㄧㄠˋ　ㄩˋ,653,42104,7.937379
45,雖然,ㄙㄨㄟ　ㄖㄢˊ,635,42739,8.057088
46,認為,ㄖㄣˋ　ㄨㄟˊ,615,43354,8.173027
47,企業,ㄑㄧˋ　ㄧㄝˋ,605,43959,8.287081
48,地方,ㄉㄧˋ　ㄈㄤ,597,44556,8.399627
49,必須,ㄅㄧˋ　ㄒㄩ,596,45152,8.511984
50,如何,ㄖㄨˊ　ㄏㄜˊ,586,45738,8.622456
51,目前,ㄇㄨˋ　ㄑㄧㄢˊ,578,46316,8.73142
52,不過,ㄅㄨˋ　ㄍㄨㄛˋ　（變）ㄅㄨˊ　ㄍㄨㄛˋ,571,46887,8.839064
53,影響,ㄧㄥˇ　ㄒㄧㄤˇ,571,47458,8.946708
54,已經,ㄧˇ　ㄐㄧㄥ,565,48023,9.053221
55,政治,ㄓㄥˋ　ㄓˋ,563,48586,9.159357
56,投資,ㄊㄡˊ　ㄗ,548,49134,9.262665
57,就是,ㄐㄧㄡˋ　ㄕˋ,543,49677,9.365031
58,關係,ㄍㄨㄢ　ㄒㄧˋ,543,50220,9.467397
59,未來,ㄨㄟˋ　ㄌㄞˊ,542,50762,9.569574
60,重要,ㄓㄨㄥˋ　ㄧㄠˋ,541,51303,9.671562
61,出現,ㄔㄨ　ㄒㄧㄢˋ,530,51833,9.771477
62,引擎,ㄧㄣˇ　ㄑㄧㄥˊ,529,52362,9.871203
63,希望,ㄒㄧ　ㄨㄤˋ,527,52889,9.970552
64,研究,ㄧㄢˊ　ㄐㄧㄡˋ,525,53414,10.069524
65,北市,,522,53936,10.167931
66,學生,ㄒㄩㄝˊ　ㄕㄥ,512,54448,10.264452
67,設計,ㄕㄜˋ　ㄐㄧˋ,499,54947,10.358523
68,時候,ㄕˊ　ㄏㄡˋ,497,55444,10.452217
69,文化,ㄨㄣˊ　ㄏㄨㄚˋ,495,55939,10.545534
70,表現,ㄅㄧㄠˇ　ㄒㄧㄢˋ,494,56433,10.638662
71,國家,ㄍㄨㄛˊ　ㄐㄧㄚ,491,56924,10.731225
72,發生,ㄈㄚ　ㄕㄥ,491,57415,10.823788
73,安全,ㄢ　ㄑㄩㄢˊ,482,57897,10.914654
74,進行,ㄐㄧㄣˋ　ㄒㄧㄥˊ,480,58377,11.005143
75,其他,ㄑㄧˊ　ㄊㄚ,479,58856,11.095443
76,環境,ㄏㄨㄢˊ　ㄐㄧㄥˋ,477,59333,11.185366
77,表示,ㄅㄧㄠˇ　ㄕˋ,475,59808,11.274912
78,無法,ㄨˊ　ㄈㄚˇ,475,60283,11.364458
79,方式,ㄈㄤ　ㄕˋ,474,60757,11.453816
80,需要,ㄒㄩ　ㄧㄠˋ,473,61230,11.542985
81,國內,ㄍㄨㄛˊ　ㄋㄟˋ,472,61702,11.631966
82,老師,ㄌㄠˇ　ㄕ,461,62163,11.718873
83,方面,ㄈㄤ　ㄇㄧㄢˋ,458,62621,11.805214
84,使用,ㄕˇ　ㄩㄥˋ,458,63079,11.891555
85,甚至,ㄕㄣˋ　ㄓˋ,457,63536,11.977708
86,今天,ㄐㄧㄣ　ㄊㄧㄢ,454,63990,12.063295
87,國際,ㄍㄨㄛˊ　ㄐㄧˋ,448,64438,12.147751
88,一樣,ㄧ　ㄧㄤˋ　（變）ㄧˊ　ㄧㄤˋ,447,64885,12.232019
89,同時,ㄊㄨㄥˊ　ㄕˊ,447,65332,12.316287
90,而且,ㄦˊ　ㄑㄧㄝˇ,447,65779,12.400555
91,非常,ㄈㄟ　ㄔㄤˊ,441,66220,12.483692
92,這樣,ㄓㄜˋ　ㄧㄤˋ,439,66659,12.566452
93,成長,ㄔㄥˊ　ㄓㄤˇ,436,67095,12.648646
94,一定,ㄧ　ㄉㄧㄥˋ　（變）ㄧˊ　ㄉㄧㄥˋ,432,67527,12.730086
95,一般,ㄧ　ㄅㄢ　（變）ㄧˋ　ㄅㄢ,431,67958,12.811337
96,歷史,ㄌㄧˋ　ㄕˇ,431,68389,12.892588
97,相當,ㄒㄧㄤ　ㄉㄤ,430,68819,12.973651
98,當時,ㄉㄤ　ㄕˊ,429,69248,13.054525
99,過去,ㄍㄨㄛˋ　ㄑㄩˋ,428,69676,13.135211
100,舉行,ㄐㄩˇ　ㄒㄧㄥˊ,428,70104,13.215897
101,然而,ㄖㄢˊ　ㄦˊ,425,70529,13.296017
102,應該,ㄧㄥ　ㄍㄞ,425,70954,13.376137
103,臺北,,421,71375,13.455503
104,故事,ㄍㄨˋ　ㄕˋ,417,71792,13.534115
105,總統,ㄗㄨㄥˇ　ㄊㄨㄥˇ,417,72209,13.612727
106,電腦,ㄉㄧㄢˋ　ㄋㄠˇ,413,72622,13.690585
107,空間,ㄎㄨㄥ　ㄐㄧㄢ,412,73034,13.768255
108,大家,ㄉㄚˋ　ㄐㄧㄚ,411,73445,13.845736
109,媽媽,ㄇㄚ　˙ㄇㄚ,410,73855,13.923029
110,如此,ㄖㄨˊ　ㄘˇ,409,74264,14.000133
111,作品,ㄗㄨㄛˋ　ㄆㄧㄣˇ,402,74666,14.075917
112,結果,ㄐㄧㄝˊ　ㄍㄨㄛˇ,400,75066,14.151324
113,部分,ㄅㄨˋ　ㄈㄣˋ,395,75461,14.225789
114,土地,ㄊㄨˇ　ㄉㄧˋ,394,75855,14.300065
115,今年,ㄐㄧㄣ　ㄋㄧㄢˊ,392,76247,14.373964
116,主要,ㄓㄨˇ　ㄧㄠˋ,392,76639,14.447863
117,自然,ㄗˋ　ㄖㄢˊ,389,77028,14.521197
118,特別,ㄊㄜˋ　ㄅㄧㄝˊ,387,77415,14.594154
119,學校,ㄒㄩㄝˊ　ㄒㄧㄠˋ,382,77797,14.666168
120,其中,ㄑㄧˊ　ㄓㄨㄥ,381,78178,14.737994
121,產生,ㄔㄢˇ　ㄕㄥ,380,78558,14.809631
122,傳統,ㄔㄨㄢˊ　ㄊㄨㄥˇ,380,78938,14.881268
123,增加,ㄗㄥ　ㄐㄧㄚ,380,79318,14.952905
124,為什麼,ㄨㄟˋ　ㄕㄣˊ　˙ㄇㄜ,379,79697,15.024354
125,產品,ㄔㄢˇ　ㄆㄧㄣˇ,379,80076,15.095803
126,提供,ㄊㄧˊ　ㄍㄨㄥ,374,80450,15.166309
127,舉辦,ㄐㄩˇ　ㄅㄢˋ,374,80824,15.236815
128,中心,ㄓㄨㄥ　ㄒㄧㄣ,373,81197,15.307132
129,比賽,ㄅㄧˇ　ㄙㄞˋ,372,81569,15.377261
130,決定,ㄐㄩㄝˊ　ㄉㄧㄥˋ,369,81938,15.446824
131,最後,ㄗㄨㄟˋ　ㄏㄡˋ,369,82307,15.516387
132,情況,ㄑㄧㄥˊ　ㄎㄨㄤˋ,367,82674,15.585573
133,參加,ㄘㄢ　ㄐㄧㄚ,364,83038,15.654194
134,這些,ㄓㄜˋ　ㄒㄧㄝ,364,83402,15.722815
135,喜歡,ㄒㄧˇ　ㄏㄨㄢ,364,83766,15.791436
136,系統,ㄒㄧˋ　ㄊㄨㄥˇ,362,84128,15.85968
137,方法,ㄈㄤ　ㄈㄚˇ,361,84489,15.927735
138,健康,ㄐㄧㄢˋ　ㄎㄤ,361,84850,15.99579
139,只有,ㄓˇ　ㄧㄡˇ,358,85208,16.06328
140,以及,ㄧˇ　ㄐㄧˊ,354,85562,16.130016
141,生命,ㄕㄥ　ㄇㄧㄥˋ,353,85915,16.196563
142,家庭,ㄐㄧㄚ　ㄊㄧㄥˊ,353,86268,16.26311
143,比較,ㄅㄧˇ　ㄐㄧㄠˋ,350,86618,16.329091
144,能力,ㄋㄥˊ　ㄌㄧˋ,350,86968,16.395072
145,經驗,ㄐㄧㄥ　ㄧㄢˋ,350,87318,16.461053
146,時代,ㄕˊ　ㄉㄞˋ,349,87667,16.526846
147,造成,ㄗㄠˋ　ㄔㄥˊ,349,88016,16.592639
148,技術,ㄐㄧˋ　ㄕㄨˋ,347,88363,16.658055
149,藝術,ㄧˋ　ㄕㄨˋ,347,88710,16.723471
150,世紀,ㄕˋ　ㄐㄧˋ,340,89050,16.787567
151,是否,ㄕˋ　ㄈㄡˇ,339,89389,16.851475
152,地球,ㄉㄧˋ　ㄑㄧㄡˊ,338,89727,16.915194
153,出來,ㄔㄨ　ㄌㄞˊ,337,90064,16.978725
154,管理,ㄍㄨㄢˇ　ㄌㄧˇ,337,90401,17.042256
155,快樂,ㄎㄨㄞˋ　ㄌㄜˋ,336,90737,17.105598
156,容易,ㄖㄨㄥˊ　ㄧˋ,336,91073,17.16894
157,地區,ㄉㄧˋ　ㄑㄩ,334,91407,17.231905
158,汽車,ㄑㄧˋ　ㄔㄜ,334,91741,17.29487
159,運動,ㄩㄣˋ　ㄉㄨㄥˋ,334,92075,17.357835
160,成功,ㄔㄥˊ　ㄍㄨㄥ,330,92405,17.420046
161,怎麼,ㄗㄣˇ　˙ㄇㄜ,330,92735,17.482257
162,機會,ㄐㄧ　ㄏㄨㄟˋ,328,93063,17.544091
163,只是,ㄓˇ　ㄕˋ,327,93390,17.605737
164,完全,ㄨㄢˊ　ㄑㄩㄢˊ,326,93716,17.667194
165,這個,ㄓㄜˋ　˙ㄍㄜ,326,94042,17.728651
166,選擇,ㄒㄩㄢˇ　ㄗㄜˊ,326,94368,17.790108
167,事實,ㄕˋ　ㄕˊ,323,94691,17.850999
168,人員,ㄖㄣˊ　ㄩㄢˊ,322,95013,17.911702
169,覺得,ㄐㄩㄝˊ　˙ㄉㄜ,322,95335,17.972405
170,先生,ㄒㄧㄢ　ㄕㄥ,319,95654,18.032542
171,開發,ㄎㄞ　ㄈㄚ,319,95973,18.092679
172,經過,ㄐㄧㄥ　ㄍㄨㄛˋ,319,96292,18.152816
173,東西,ㄉㄨㄥ　ㄒㄧ,318,96610,18.212765
